PK_ID,HTTPS
230234,https://connect.discoveryeducation.com/index.cfm?
226341,https://connect.discoveryeducation.com/index.cfm?
219345,https://connect.discoveryeducation.com/index.cfm?
235360,https://connect.discoveryeducation.com/index.cfm?
235379,https://connect.discoveryeducation.com/index.cfm?
235406,https://connect.discoveryeducation.com/index.cfm?
235407,https://connect.discoveryeducation.com/index.cfm?
235464,https://connect.discoveryeducation.com/index.cfm?
229902,https://connect.discoveryeducation.com/index.cfm?
229907,https://connect.discoveryeducation.com/index.cfm?
229919,https://connect.discoveryeducation.com/index.cfm?
217743,https://connect.discoveryeducation.com/index.cfm?
235577,https://connect.discoveryeducation.com/index.cfm?
235578,https://connect.discoveryeducation.com/index.cfm?
235579,https://connect.discoveryeducation.com/index.cfm?
235583,https://connect.discoveryeducation.com/index.cfm?
235584,https://connect.discoveryeducation.com/index.cfm?
235585,https://connect.discoveryeducation.com/index.cfm?
235586,https://connect.discoveryeducation.com/index.cfm?
229616,https://connect.discoveryeducation.com/index.cfm?
229864,https://connect.discoveryeducation.com/index.cfm?
229865,https://connect.discoveryeducation.com/index.cfm?
229866,https://connect.discoveryeducation.com/index.cfm?
229876,https://connect.discoveryeducation.com/index.cfm?
229885,https://connect.discoveryeducation.com/index.cfm?
235590,https://connect.discoveryeducation.com/index.cfm?
235593,https://connect.discoveryeducation.com/index.cfm?
235597,https://connect.discoveryeducation.com/index.cfm?
217426,https://connect.discoveryeducation.com/index.cfm?
217433,https://connect.discoveryeducation.com/index.cfm?
235465,https://connect.discoveryeducation.com/index.cfm?
235480,https://connect.discoveryeducation.com/index.cfm?
235481,https://connect.discoveryeducation.com/index.cfm?
235482,https://connect.discoveryeducation.com/index.cfm?
235483,https://connect.discoveryeducation.com/index.cfm?
235484,https://connect.discoveryeducation.com/index.cfm?
235485,https://connect.discoveryeducation.com/index.cfm?
235490,https://connect.discoveryeducation.com/index.cfm?
235494,https://connect.discoveryeducation.com/index.cfm?
235495,https://connect.discoveryeducation.com/index.cfm?
235497,https://connect.discoveryeducation.com/index.cfm?
235498,https://connect.discoveryeducation.com/index.cfm?
235499,https://connect.discoveryeducation.com/index.cfm?
235500,https://connect.discoveryeducation.com/index.cfm?
235501,https://connect.discoveryeducation.com/index.cfm?
235502,https://connect.discoveryeducation.com/index.cfm?
235503,https://connect.discoveryeducation.com/index.cfm?
235504,https://connect.discoveryeducation.com/index.cfm?
235508,https://connect.discoveryeducation.com/index.cfm?
235509,https://connect.discoveryeducation.com/index.cfm?
235510,https://connect.discoveryeducation.com/index.cfm?
235511,https://connect.discoveryeducation.com/index.cfm?
235512,https://connect.discoveryeducation.com/index.cfm?
235514,https://connect.discoveryeducation.com/index.cfm?
235515,https://connect.discoveryeducation.com/index.cfm?
235523,https://connect.discoveryeducation.com/index.cfm?
235525,https://connect.discoveryeducation.com/index.cfm?
235529,https://connect.discoveryeducation.com/index.cfm?
235530,https://connect.discoveryeducation.com/index.cfm?
235532,https://connect.discoveryeducation.com/index.cfm?
235533,https://connect.discoveryeducation.com/index.cfm?
235534,https://connect.discoveryeducation.com/index.cfm?
235535,https://connect.discoveryeducation.com/index.cfm?
235537,https://connect.discoveryeducation.com/index.cfm?
235538,https://connect.discoveryeducation.com/index.cfm?
235544,https://connect.discoveryeducation.com/index.cfm?
235545,https://connect.discoveryeducation.com/index.cfm?
235553,https://connect.discoveryeducation.com/index.cfm?
235555,https://connect.discoveryeducation.com/index.cfm?
235556,https://connect.discoveryeducation.com/index.cfm?
235563,https://connect.discoveryeducation.com/index.cfm?
235564,https://connect.discoveryeducation.com/index.cfm?
235567,https://connect.discoveryeducation.com/index.cfm?
234884,https://connect.discoveryeducation.com/index.cfm?
234891,https://connect.discoveryeducation.com/index.cfm?
234892,https://connect.discoveryeducation.com/index.cfm?
234896,https://connect.discoveryeducation.com/index.cfm?
234913,https://connect.discoveryeducation.com/index.cfm?
234914,https://connect.discoveryeducation.com/index.cfm?
234933,https://connect.discoveryeducation.com/index.cfm?
216860,https://connect.discoveryeducation.com/index.cfm?
216861,https://connect.discoveryeducation.com/index.cfm?
234690,https://connect.discoveryeducation.com/index.cfm?
234695,https://connect.discoveryeducation.com/index.cfm?
234696,https://connect.discoveryeducation.com/index.cfm?
234706,https://connect.discoveryeducation.com/index.cfm?
234708,https://connect.discoveryeducation.com/index.cfm?
234709,https://connect.discoveryeducation.com/index.cfm?
234710,https://connect.discoveryeducation.com/index.cfm?
234711,https://connect.discoveryeducation.com/index.cfm?
234712,https://connect.discoveryeducation.com/index.cfm?
234732,https://connect.discoveryeducation.com/index.cfm?
234735,https://connect.discoveryeducation.com/index.cfm?
234736,https://connect.discoveryeducation.com/index.cfm?
234737,https://connect.discoveryeducation.com/index.cfm?
234740,https://connect.discoveryeducation.com/index.cfm?
234751,https://connect.discoveryeducation.com/index.cfm?
234753,https://connect.discoveryeducation.com/index.cfm?
234755,https://connect.discoveryeducation.com/index.cfm?
234759,https://connect.discoveryeducation.com/index.cfm?
234819,https://connect.discoveryeducation.com/index.cfm?
234820,https://connect.discoveryeducation.com/index.cfm?
234822,https://connect.discoveryeducation.com/index.cfm?
234831,https://connect.discoveryeducation.com/index.cfm?
234832,https://connect.discoveryeducation.com/index.cfm?
234470,https://connect.discoveryeducation.com/index.cfm?
234471,https://connect.discoveryeducation.com/index.cfm?
234472,https://connect.discoveryeducation.com/index.cfm?
234568,https://connect.discoveryeducation.com/index.cfm?
234569,https://connect.discoveryeducation.com/index.cfm?
234570,https://connect.discoveryeducation.com/index.cfm?
234571,https://connect.discoveryeducation.com/index.cfm?
234573,https://connect.discoveryeducation.com/index.cfm?
234574,https://connect.discoveryeducation.com/index.cfm?
234575,https://connect.discoveryeducation.com/index.cfm?
234576,https://connect.discoveryeducation.com/index.cfm?
234577,https://connect.discoveryeducation.com/index.cfm?
234578,https://connect.discoveryeducation.com/index.cfm?
234579,https://connect.discoveryeducation.com/index.cfm?
234663,https://connect.discoveryeducation.com/index.cfm?
234664,https://connect.discoveryeducation.com/index.cfm?
235178,https://connect.discoveryeducation.com/index.cfm?
235179,https://connect.discoveryeducation.com/index.cfm?
