PK_ID,HTTPS,Result,Details,UpdatedURL
514233,https://api.edmodo.com/,Redirected,URL should be updated to match Redirected URL,https://api.edmodo.com/login
38738,https://apps.mathlearningcenter.org/number-line/,Success,,
546863,https://apps.mathlearningcenter.org/number-line/,Success,,
546866,https://apps.mathlearningcenter.org/number-line/,Success,,
546865,https://apps.mathlearningcenter.org/number-line/,Success,,
546864,https://apps.mathlearningcenter.org/number-line/,Success,,
550475,https://archive.org/details/DateWith1950,Success,,
536625,https://archive.org/download/jana-gana-mana/jana_gana_mana.mp3,Redirected,URL should be updated to match Redirected URL,https://ia800304.us.archive.org/15/items/jana-gana-mana/jana_gana_mana.mp3
542597,https://archive.org/stream/RayBradburyDandelionWine/Ray_Bradbury_-_Dandelion_wine#page/n61/mode/2up,404,"('Not Found', 'Nothing matches the given URI')",
590614,https://ballotpedia.org/Initiative_and_referendum,Redirected,URL should be updated to match Redirected URL,https://ballotpedia.org/Initiative_and_referendum
552174,https://cdn.vox-cdn.com/thumbor/dLvw3QIUp1XNfawJXQ1Wth1Kil0=/0x0:2040x1360/1200x800/filters:focal(857x517:1183x843)/cdn.vox-cdn.com/uploads/chorus_image/image/56698297/main_1200_copy.0.jpg,Success,,
526051,https://chnm.gmu.edu/1989/exhibits/everyday-life/introduction,Failed - https,Failed with https; Successful as http,http://chnm.gmu.edu/1989/exhibits/everyday-life/introduction
533016,https://chnm.gmu.edu/1989/exhibits/everyday-life/introduction,Failed - https,Failed with https; Successful as http,http://chnm.gmu.edu/1989/exhibits/everyday-life/introduction
593372,https://commons.wikimedia.org/wiki/File:Periodic_Table_Of_Elements_2016.jpg,404,"('Not Found', 'Nothing matches the given URI')",
593369,https://commons.wikimedia.org/wiki/File:Periodic_Table_Of_Elements_2016.jpg,404,"('Not Found', 'Nothing matches the given URI')",
593367,https://commons.wikimedia.org/wiki/File:Periodic_Table_Of_Elements_2016.jpg,404,"('Not Found', 'Nothing matches the given URI')",
593368,https://commons.wikimedia.org/wiki/File:Periodic_Table_Of_Elements_2016.jpg,404,"('Not Found', 'Nothing matches the given URI')",
546286,https://designschool.canva.com/blog/examples-of-propaganda/,403,"('Forbidden', 'Request forbidden -- authorization will not help')",
533119,https://docs.google.com/document/d/1-G0aoCXVqCHLqB0CZOIZtSkJaA24AiVNx5Wg0g2tiUY/edit?usp=sharing,Success,,
