USERS_ID,SUBMITTED_TIMESTAMP,PK_ID,ROOT_RESOURCE_ID,NAME_FIELD,PATH,VERSION_NUMBER,DESCRIPTION,LOAD_ID,IS_ACTIVE
399381,30-JUL-20 05.02.18.605000000 PM,1053208,,Work Cited.pdf,https://esw.edisonlearning.com/suite/repository/workspace/Users/399381/Assessment Attempt Attachments/36435018/686998/Work Cited.pdf,,,,T
404425,30-JUL-20 04.55.02.797000000 PM,1053206,,IMG_3538.jpg,https://esw.edisonlearning.com/suite/repository/workspace/Users/404425/Assessment Attempt Attachments/36436241/136644/IMG_3538.jpg,,,,T
404425,30-JUL-20 04.55.02.797000000 PM,1053204,,IMG_3541.jpg,https://esw.edisonlearning.com/suite/repository/workspace/Users/404425/Assessment Attempt Attachments/36436241/339826/IMG_3541.jpg,,,,T
404425,30-JUL-20 04.55.02.797000000 PM,1053207,,IMG_3540.jpg,https://esw.edisonlearning.com/suite/repository/workspace/Users/404425/Assessment Attempt Attachments/36436241/136650/IMG_3540.jpg,,,,T
404425,30-JUL-20 04.55.02.797000000 PM,1053205,,IMG_3542.jpg,https://esw.edisonlearning.com/suite/repository/workspace/Users/404425/Assessment Attempt Attachments/36436241/339952/IMG_3542.jpg,,,,T
404425,30-JUL-20 04.55.02.797000000 PM,1053203,,IMG_3539.jpg,https://esw.edisonlearning.com/suite/repository/workspace/Users/404425/Assessment Attempt Attachments/36436241/136639/IMG_3539.jpg,,,,T
402709,30-JUL-20 04.44.29.081000000 PM,1053202,,HSR.PersuasiveEssayOpenTopic_outline.pdf,https://esw.edisonlearning.com/suite/repository/workspace/Users/402709/Assessment Attempt Attachments/36397317/643342/HSR.PersuasiveEssayOpenTopic_outline.pdf,,,,T
404744,30-JUL-20 04.40.02.957000000 PM,1053201,,Beach Descriptive Essay Outline.docx,https://esw.edisonlearning.com/suite/repository/workspace/Users/404744/Assessment Attempt Attachments/36437405/643328/Beach Descriptive Essay Outline.docx,,,,T
400675,30-JUL-20 04.36.56.686000000 PM,1053191,,image.jpg,https://esw.edisonlearning.com/suite/repository/workspace/Users/400675/Assessment Attempt Attachments/36437258/665214/image.jpg,,,,T
400675,30-JUL-20 04.36.56.686000000 PM,1053190,,71166FE1-08B9-480D-93BC-E92E1E7A6E81.jpeg,https://esw.edisonlearning.com/suite/repository/workspace/Users/400675/Assessment Attempt Attachments/36437258/666359/71166FE1-08B9-480D-93BC-E92E1E7A6E81.jpeg,,,,T
404669,30-JUL-20 04.33.30.529000000 PM,1053194,,InShot_20200730_121347786.jpg,https://esw.edisonlearning.com/suite/repository/workspace/Users/404669/Assessment Attempt Attachments/36436089/149224/InShot_20200730_121347786.jpg,,,,T
