USERS_ID,SUBMITTED_TIMESTAMP,PK_ID,NAME_FIELD,PATH,
165905,11-AUG-20 02.55.13.609000000 PM,1107294,Essay Notes.pdf,http://52.252.6.133/suite/repository/workspace/Users/165905/Assessment Attempt Attachments/21548914/438961/Essay Notes.pdf,Success
169771,11-AUG-20 02.51.02.291000000 PM,1107293,finished rubric test.pdf,http://52.252.6.133/suite/repository/workspace/Users/169771/Assessment Attempt Attachments/21548888/459642/finished rubric test.pdf,Success
168727,11-AUG-20 02.32.48.786000000 PM,1107292,CauseEffectEssay_Effects_Template.docx,http://52.252.6.133/suite/repository/workspace/Users/168727/Assessment Attempt Attachments/21538526/354688/CauseEffectEssay_Effects_Template.docx,Success
167637,11-AUG-20 02.26.24.150000000 PM,1107290,42CB19E5_613192bd-2e89-4f33-86f7-5ac2adc85658_1587143876887.jpg,http://52.252.6.133/suite/repository/workspace/Users/167637/Assessment Attempt Attachments/21548814/24473/42CB19E5_613192bd-2e89-4f33-86f7-5ac2adc85658_1587143876887.jpg,Success
167637,11-AUG-20 02.26.24.150000000 PM,1107289,8B1EF54C_d994c9cf-423b-4c46-bd35-97b1cb7533b1_1589939666651.jpg,http://52.252.6.133/suite/repository/workspace/Users/167637/Assessment Attempt Attachments/21548814/24469/8B1EF54C_d994c9cf-423b-4c46-bd35-97b1cb7533b1_1589939666651.jpg,Success
168961,11-AUG-20 01.31.54.791000000 PM,1107286,034EB100-07D6-44B4-ACBD-8CD3AE564176.png,http://52.252.6.133/suite/repository/workspace/Users/168961/Assessment Attempt Attachments/21548799/439585/034EB100-07D6-44B4-ACBD-8CD3AE564176.png,Success
168961,11-AUG-20 01.30.01.850000000 PM,1107285,E3880588-6A0B-42A6-B697-A85F1110A273.png,http://52.252.6.133/suite/repository/workspace/Users/168961/Assessment Attempt Attachments/21548793/439535/E3880588-6A0B-42A6-B697-A85F1110A273.png,Success
96711,11-AUG-20 01.18.11.798000000 PM,1107283,BAD8E264-DA04-4606-A0C3-3A88260C30A9.png,http://52.252.6.133/suite/repository/workspace/Users/96711/Assessment Attempt Attachments/21548783/354568/BAD8E264-DA04-4606-A0C3-3A88260C30A9.png,Success
96711,11-AUG-20 01.14.51.478000000 PM,1107282,69E3920C-9E8A-4102-A61C-C1E6638F5BA5.png,http://52.252.6.133/suite/repository/workspace/Users/96711/Assessment Attempt Attachments/21544079/354569/69E3920C-9E8A-4102-A61C-C1E6638F5BA5.png,Success
169543,11-AUG-20 12.54.19.988000000 PM,1107281,Untitled document (1).docx,http://52.252.6.133/suite/repository/workspace/Users/169543/Assessment Attempt Attachments/21548755/354347/Untitled document (1).docx,Success
