PATH,USERS_ID,SUBMITTED_TIMESTAMP,PK_ID,ROOT_RESOURCE_ID,NAME_FIELD,VERSION_NUMBER,DESCRIPTION,LOAD_ID,IS_ACTIVE
http://52.252.6.133/suite/repository/workspace/Users/80761/Assessment%20Attempt%20Attachments/21828537/457115/WS1.EDHS.PE001.X.9.pdf,80761,14-SEP-20 03.20.17.474000000 PM,1123220,,WS1.EDHS.PE001.X.9.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/171429/Assessment%20Attempt%20Attachments/21828607/427451/Rhetorical_Speech_Action_Project_Worksheet.pdf,171429,14-SEP-20 03.19.51.399000000 PM,1123222,,Rhetorical_Speech_Action_Project_Worksheet.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/125907/Assessment%20Attempt%20Attachments/21816294/427507/english.docx,125907,14-SEP-20 03.19.25.797000000 PM,1123216,,english.docx,,,,T
http://52.252.6.133/suite/repository/workspace/Users/70500/Assessment%20Attempt%20Attachments/21826220/459638/Persuasive%20Essay.docx,70500,14-SEP-20 03.18.45.750000000 PM,1123194,,Persuasive Essay.docx,,,,T
http://52.252.6.133/suite/repository/workspace/Users/180063/Assessment%20Attempt%20Attachments/21808910/459642/dreams.docx,180063,14-SEP-20 03.18.26.124000000 PM,1123200,,dreams.docx,,,,T
http://52.252.6.133/suite/repository/workspace/Users/175968/Assessment%20Attempt%20Attachments/21824795/459192/The%20yellow%20wallpaper%20reading%20guide%20section%201.pdf,175968,14-SEP-20 03.18.14.709000000 PM,1123097,,The yellow wallpaper reading guide section 1.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/175968/Assessment%20Attempt%20Attachments/21824795/459213/The%20yellow%20wallpaper%20reading%20guide%20section%202.pdf,175968,14-SEP-20 03.18.14.709000000 PM,1123198,,The yellow wallpaper reading guide section 2.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/175968/Assessment%20Attempt%20Attachments/21824795/459080/Once%20upon%20a%20time%20reading%20guide%20section%202.pdf,175968,14-SEP-20 03.18.14.709000000 PM,1123052,,Once upon a time reading guide section 2.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/179196/Assessment%20Attempt%20Attachments/21827779/354829/Firehouse%20boys.docx,179196,14-SEP-20 03.17.14.365000000 PM,1123190,,Firehouse boys.docx,,,,T
http://52.252.6.133/suite/repository/workspace/Users/178331/Assessment%20Attempt%20Attachments/21828445/459642/Rubric.pdf,178331,14-SEP-20 03.17.04.016000000 PM,1123191,,Rubric.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/74714/Assessment%20Attempt%20Attachments/21826813/68427/Graph.1.png,74714,14-SEP-20 03.16.37.022000000 PM,1123185,,Graph.1.png,,,,T
http://52.252.6.133/suite/repository/workspace/Users/171586/Assessment%20Attempt%20Attachments/21805973/408755/Heros_Journey_Action_Project_Worksheet.pdf,171586,14-SEP-20 03.15.06.654000000 PM,1123111,,Heros_Journey_Action_Project_Worksheet.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/176778/Assessment%20Attempt%20Attachments/21828245/390156/Delilah%20F_Bio1%20pt1_Lesson3_%20Scientific%20discoveries.pdf,176778,14-SEP-20 03.15.03.617000000 PM,1123170,,Delilah F_Bio1 pt1_Lesson3_ Scientific discoveries.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/176778/Assessment%20Attempt%20Attachments/21828245/390290/Delilah%20F_Bio1%20pt1_Lesson3_Scientific%20Method%20Steps.pdf,176778,14-SEP-20 03.15.03.617000000 PM,1123177,,Delilah F_Bio1 pt1_Lesson3_Scientific Method Steps.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/176778/Assessment%20Attempt%20Attachments/21828245/390292/Delilah%20F_Bio1%20pt1_Lesson3_%20SM%20Practice.pdf,176778,14-SEP-20 03.15.03.617000000 PM,1123182,,Delilah F_Bio1 pt1_Lesson3_ SM Practice.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/172548/Assessment%20Attempt%20Attachments/21828275/390156/A47BA00F-6B95-449D-B7E7-711686993D3D.jpeg,172548,14-SEP-20 03.15.03.255000000 PM,1123173,,A47BA00F-6B95-449D-B7E7-711686993D3D.jpeg,,,,T
http://52.252.6.133/suite/repository/workspace/Users/172548/Assessment%20Attempt%20Attachments/21828275/390290/847C220D-8DC4-4EA7-918B-62F0225BF0C7.jpeg,172548,14-SEP-20 03.15.03.255000000 PM,1123176,,847C220D-8DC4-4EA7-918B-62F0225BF0C7.jpeg,,,,T
http://52.252.6.133/suite/repository/workspace/Users/172548/Assessment%20Attempt%20Attachments/21828275/390292/0CF45E37-F2D0-471D-BB62-EEA75C1A09EF.jpeg,172548,14-SEP-20 03.15.03.255000000 PM,1123180,,0CF45E37-F2D0-471D-BB62-EEA75C1A09EF.jpeg,,,,T
http://52.252.6.133/suite/repository/workspace/Users/172548/Assessment%20Attempt%20Attachments/21828275/390292/44916089-97FA-4C47-AC6E-C17E12AA7997.jpeg,172548,14-SEP-20 03.15.03.255000000 PM,1123181,,44916089-97FA-4C47-AC6E-C17E12AA7997.jpeg,,,,T
http://52.252.6.133/suite/repository/workspace/Users/175221/Assessment%20Attempt%20Attachments/21828318/427451/Rhetorical_Speech_External_Investigation_Worksheet.pdf,175221,14-SEP-20 03.15.01.120000000 PM,1123183,,Rhetorical_Speech_External_Investigation_Worksheet.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/148172/Assessment%20Attempt%20Attachments/21828032/406141/elijahs%20number%20line.PNG,148172,14-SEP-20 03.14.33.576000000 PM,1123167,,elijahs number line.PNG,,,,T
