PATH,USERS_ID,SUBMITTED_TIMESTAMP,PK_ID,ROOT_RESOURCE_ID,NAME_FIELD,VERSION_NUMBER,DESCRIPTION,LOAD_ID,IS_ACTIVE
http://52.252.6.133/suite/repository/workspace/Users/179640/Assessment%20Attempt%20Attachments/21871265/408744/Heros_Journey_Diagram_Worksheet_Step3.pdf,179640,16-SEP-20 01.07.06.966000000 AM,1126026,,Heros_Journey_Diagram_Worksheet_Step3.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/174579/Assessment%20Attempt%20Attachments/21871210/434987/D9E6C961-DC63-45C9-85C9-6E424B5F05F4.png,174579,16-SEP-20 01.05.52.276000000 AM,1126042,,D9E6C961-DC63-45C9-85C9-6E424B5F05F4.png,,,,T
http://52.252.6.133/suite/repository/workspace/Users/101908/Assessment%20Attempt%20Attachments/21871001/390154/BIO1-Scientific-Method_Taxonomy-Worksheet.pdf,101908,16-SEP-20 01.03.46.321000000 AM,1126025,,BIO1-Scientific-Method_Taxonomy-Worksheet.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/101908/Assessment%20Attempt%20Attachments/21871001/390289/BIO1-Scientific-Method_Taxonomic%20Hierarchy-Worksheet.pdf,101908,16-SEP-20 01.03.46.321000000 AM,1126031,,BIO1-Scientific-Method_Taxonomic Hierarchy-Worksheet.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/101908/Assessment%20Attempt%20Attachments/21871001/390155/BIO1-Scientific-Method_HierarchyOfChoice-Worksheet.pdf,101908,16-SEP-20 01.03.46.321000000 AM,1126041,,BIO1-Scientific-Method_HierarchyOfChoice-Worksheet.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/172776/Assessment%20Attempt%20Attachments/21730065/408699/unnamed.jpg,172776,16-SEP-20 12.59.18.718000000 AM,1126039,,unnamed.jpg,,,,T
http://52.252.6.133/suite/repository/workspace/Users/178220/Assessment%20Attempt%20Attachments/21871044/45928/webcam-toy-photo1.jpg,178220,16-SEP-20 12.58.18.428000000 AM,1126032,,webcam-toy-photo1.jpg,,,,T
http://52.252.6.133/suite/repository/workspace/Users/175221/Assessment%20Attempt%20Attachments/21871496/427509/New%20Recording%202.m4a,175221,16-SEP-20 12.58.17.066000000 AM,1126038,,New Recording 2.m4a,,,,T
http://52.252.6.133/suite/repository/workspace/Users/175221/Assessment%20Attempt%20Attachments/21871496/427509/Rhetorical_Speech_Action_Project_Worksheet%20(3)%20(1)%20(1).pdf,175221,16-SEP-20 12.58.17.066000000 AM,1126028,,Rhetorical_Speech_Action_Project_Worksheet (3) (1) (1).pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/70452/Assessment%20Attempt%20Attachments/21845648/286055/Screenshot_20200915-205552_Chrome.jpg,70452,16-SEP-20 12.56.11.433000000 AM,1126037,,Screenshot_20200915-205552_Chrome.jpg,,,,T
http://52.252.6.133/suite/repository/workspace/Users/70452/Assessment%20Attempt%20Attachments/21845648/286108/Screenshot_20200915-205422_Chrome.jpg,70452,16-SEP-20 12.56.11.433000000 AM,1126035,,Screenshot_20200915-205422_Chrome.jpg,,,,T
http://52.252.6.133/suite/repository/workspace/Users/70452/Assessment%20Attempt%20Attachments/21845648/285945/Screenshot_20200915-204753_Chrome.jpg,70452,16-SEP-20 12.56.11.433000000 AM,1126027,,Screenshot_20200915-204753_Chrome.jpg,,,,T
http://52.252.6.133/suite/repository/workspace/Users/70452/Assessment%20Attempt%20Attachments/21845648/284008/Screenshot_20200915-204608_Chrome.jpg,70452,16-SEP-20 12.56.11.433000000 AM,1126024,,Screenshot_20200915-204608_Chrome.jpg,,,,T
http://52.252.6.133/suite/repository/workspace/Users/70452/Assessment%20Attempt%20Attachments/21845648/283956/Screenshot_20200915-204449_Chrome.jpg,70452,16-SEP-20 12.56.11.433000000 AM,1126023,,Screenshot_20200915-204449_Chrome.jpg,,,,T
http://52.252.6.133/suite/repository/workspace/Users/70452/Assessment%20Attempt%20Attachments/21845648/286023/Screenshot_20200915-205047_Chrome.jpg,70452,16-SEP-20 12.56.11.433000000 AM,1126033,,Screenshot_20200915-205047_Chrome.jpg,,,,T
http://52.252.6.133/suite/repository/workspace/Users/70452/Assessment%20Attempt%20Attachments/21845648/286081/Screenshot_20200915-205322_Chrome.jpg,70452,16-SEP-20 12.56.11.433000000 AM,1126034,,Screenshot_20200915-205322_Chrome.jpg,,,,T
http://52.252.6.133/suite/repository/workspace/Users/143832/Assessment%20Attempt%20Attachments/21592818/459612/english%20paper.docx,143832,16-SEP-20 12.55.14.294000000 AM,1126036,,english paper.docx,,,,T
http://52.252.6.133/suite/repository/workspace/Users/73318/Assessment%20Attempt%20Attachments/21846863/427451/Rhetorical_Speech_Action_Project_Worksheet.pdf,73318,16-SEP-20 12.50.44.551000000 AM,1126030,,Rhetorical_Speech_Action_Project_Worksheet.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/180617/Assessment%20Attempt%20Attachments/21837893/390153/BIO1%20Scientific%20Method%20Unify%20Worksheet%20-%20Hailey%20Stine.pdf.docx,180617,16-SEP-20 12.46.13.169000000 AM,1126022,,BIO1 Scientific Method Unify Worksheet - Hailey Stine.pdf.docx,,,,T
http://52.252.6.133/suite/repository/workspace/Users/180617/Assessment%20Attempt%20Attachments/21837893/390152/BIO1%20Scientific%20Method%20Video%20Worksheet%20-%20Hailey%20Stine.pdf.docx,180617,16-SEP-20 12.46.13.169000000 AM,1126021,,BIO1 Scientific Method Video Worksheet - Hailey Stine.pdf.docx,,,,T
http://52.252.6.133/suite/repository/workspace/Users/96480/Assessment%20Attempt%20Attachments/21871434/390292/biology%203.3.pdf,96480,16-SEP-20 12.42.29.584000000 AM,1126020,,biology 3.3.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/96480/Assessment%20Attempt%20Attachments/21871434/390156/biology%203.1.pdf,96480,16-SEP-20 12.42.29.584000000 AM,1126018,,biology 3.1.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/96480/Assessment%20Attempt%20Attachments/21871434/390290/biology%203.2.pdf,96480,16-SEP-20 12.42.29.584000000 AM,1126019,,biology 3.2.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/130867/Assessment%20Attempt%20Attachments/21870344/408750/Real-Life_Heroes_Worksheet_Step4.pdf,166796,16-SEP-20 12.40.25.363000000 AM,1126016,,Real-Life_Heroes_Worksheet_Step4.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/70946/Assessment%20Attempt%20Attachments/21856843/337537/ConceptualActivityU1L13.pdf,70946,16-SEP-20 12.39.45.861000000 AM,1126015,,ConceptualActivityU1L13.pdf,,,,T
http://52.252.6.133/suite/repository/workspace/Users/70946/Assessment%20Attempt%20Attachments/21856843/337537/ConceptualActivityU1L13GRAPHS.docx,70946,16-SEP-20 12.39.45.861000000 AM,1126014,,ConceptualActivityU1L13GRAPHS.docx,,,,T
http://52.252.6.133/suite/repository/workspace/Users/172935/Assessment%20Attempt%20Attachments/21870503/459535/Essay-%20Lesson%2015.pdf,172935,16-SEP-20 12.34.44.722000000 AM,1126013,,Essay- Lesson 15.pdf,,,,T
