USERS_ID,SUBMITTED_TIMESTAMP,PK_ID,ROOT_RESOURCE_ID,NAME_FIELD,PATH,VERSION_NUMBER,DESCRIPTION,LOAD_ID,IS_ACTIVE
180063,14-SEP-20 03.27.18.195000000 PM,1123250,,challenges faced.docx,http://52.252.6.133/suite/repository/workspace/Users/180063/Assessment Attempt Attachments/21828573/459646/challenges faced.docx,,,,T
178186,14-SEP-20 03.26.59.792000000 PM,1122992,,(2) images.jpg,http://52.252.6.133/suite/repository/workspace/Users/178186/Assessment Attempt Attachments/21801981/240238/(2) images.jpg,,,,T
178186,14-SEP-20 03.26.59.792000000 PM,1122990,,images.jpg,http://52.252.6.133/suite/repository/workspace/Users/178186/Assessment Attempt Attachments/21801981/240238/images.jpg,,,,T
174248,14-SEP-20 03.26.44.529000000 PM,1123197,,Kami Export - WS.EDMS.2020.SC.X.41.pdf,http://52.252.6.133/suite/repository/workspace/Users/174248/Assessment Attempt Attachments/21799558/467899/Kami Export - WS.EDMS.2020.SC.X.41.pdf,,,,T
174248,14-SEP-20 03.26.44.529000000 PM,1123248,,Atom examples.pdf,http://52.252.6.133/suite/repository/workspace/Users/174248/Assessment Attempt Attachments/21799558/467899/Atom examples.pdf,,,,T
177024,14-SEP-20 03.25.49.228000000 PM,1123245,,Activity Plan Santos Complete.pdf,http://52.252.6.133/suite/repository/workspace/Users/177024/Assessment Attempt Attachments/21828977/457115/Activity Plan Santos Complete.pdf,,,,T
177628,14-SEP-20 03.25.35.536000000 PM,1123243,,preserved memories (1).docx,http://52.252.6.133/suite/repository/workspace/Users/177628/Assessment Attempt Attachments/21824132/427453/preserved memories (1).docx,,,,T
180361,14-SEP-20 03.25.14.150000000 PM,1123224,,Screenshot 2020-09-14 at 11.19.57 AM.png,http://52.252.6.133/suite/repository/workspace/Users/180361/Assessment Attempt Attachments/21827514/445437/Screenshot 2020-09-14 at 11.19.57 AM.png,,,,T
180361,14-SEP-20 03.25.14.150000000 PM,1123132,,school1.pdf,http://52.252.6.133/suite/repository/workspace/Users/180361/Assessment Attempt Attachments/21827514/445438/school1.pdf,,,,T
148602,14-SEP-20 03.24.52.589000000 PM,1123242,,Lost Eesay.docx,http://52.252.6.133/suite/repository/workspace/Users/148602/Assessment Attempt Attachments/21826230/354268/Lost Eesay.docx,,,,T
171429,14-SEP-20 03.23.16.047000000 PM,1123240,,Rhetorical_Speech_Action_Project_Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/171429/Assessment Attempt Attachments/21828677/427453/Rhetorical_Speech_Action_Project_Worksheet.pdf,,,,T
178910,14-SEP-20 03.21.55.282000000 PM,1123233,,Real Life Heroes Worksheet- Savannah Deibert.pdf,http://52.252.6.133/suite/repository/workspace/Users/178910/Assessment Attempt Attachments/21828003/408750/Real Life Heroes Worksheet- Savannah Deibert.pdf,,,,T
177631,14-SEP-20 03.21.50.451000000 PM,1123228,,BIO1-Scientific-Method_Taxonomic Hierarchy-Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/177631/Assessment Attempt Attachments/21828609/390289/BIO1-Scientific-Method_Taxonomic Hierarchy-Worksheet.pdf,,,,T
177631,14-SEP-20 03.21.50.451000000 PM,1123230,,BIO1-Scientific-Method_HierarchyOfChoice-Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/177631/Assessment Attempt Attachments/21828609/390155/BIO1-Scientific-Method_HierarchyOfChoice-Worksheet.pdf,,,,T
177631,14-SEP-20 03.21.50.451000000 PM,1123225,,BIO1-Scientific-Method_Taxonomy-Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/177631/Assessment Attempt Attachments/21828609/390154/BIO1-Scientific-Method_Taxonomy-Worksheet.pdf,,,,T
173445,14-SEP-20 03.21.08.783000000 PM,1123064,,Screenshot 2020-09-14 at 10.48.22 AM.png,http://52.252.6.133/suite/repository/workspace/Users/173445/Assessment Attempt Attachments/21826569/312002/Screenshot 2020-09-14 at 10.48.22 AM.png,,,,T
173445,14-SEP-20 03.21.08.783000000 PM,1123099,,Screenshot 2020-09-14 at 10.58.12 AM.png,http://52.252.6.133/suite/repository/workspace/Users/173445/Assessment Attempt Attachments/21826569/312055/Screenshot 2020-09-14 at 10.58.12 AM.png,,,,T
173445,14-SEP-20 03.21.08.783000000 PM,1123211,,Screenshot 2020-09-14 at 11.18.52 AM.png,http://52.252.6.133/suite/repository/workspace/Users/173445/Assessment Attempt Attachments/21826569/275068/Screenshot 2020-09-14 at 11.18.52 AM.png,,,,T
173445,14-SEP-20 03.21.08.783000000 PM,1123179,,Screenshot 2020-09-14 at 11.14.14 AM.png,http://52.252.6.133/suite/repository/workspace/Users/173445/Assessment Attempt Attachments/21826569/312056/Screenshot 2020-09-14 at 11.14.14 AM.png,,,,T
173445,14-SEP-20 03.21.08.783000000 PM,1123196,,Screenshot 2020-09-14 at 11.17.31 AM.png,http://52.252.6.133/suite/repository/workspace/Users/173445/Assessment Attempt Attachments/21826569/269842/Screenshot 2020-09-14 at 11.17.31 AM.png,,,,T
173445,14-SEP-20 03.21.08.783000000 PM,1123137,,Screenshot 2020-09-14 at 11.07.09 AM.png,http://52.252.6.133/suite/repository/workspace/Users/173445/Assessment Attempt Attachments/21826569/275109/Screenshot 2020-09-14 at 11.07.09 AM.png,,,,T
92038,14-SEP-20 03.20.49.249000000 PM,1123112,,Biology.pdf,http://52.252.6.133/suite/repository/workspace/Users/92038/Assessment Attempt Attachments/21826402/390152/Biology.pdf,,,,T
92038,14-SEP-20 03.20.49.249000000 PM,1123227,,biology 2.pdf,http://52.252.6.133/suite/repository/workspace/Users/92038/Assessment Attempt Attachments/21826402/390153/biology 2.pdf,,,,T
171102,14-SEP-20 03.20.31.450000000 PM,1123226,,Vocaroo 14 Sep 2020 11_18_55 EDT 1l3qutL0rYfH.mp3,http://52.252.6.133/suite/repository/workspace/Users/171102/Assessment Attempt Attachments/21826666/80399/Vocaroo 14 Sep 2020 11_18_55 EDT 1l3qutL0rYfH.mp3,,,,T
80761,14-SEP-20 03.20.17.474000000 PM,1123220,,WS1.EDHS.PE001.X.9.pdf,http://52.252.6.133/suite/repository/workspace/Users/80761/Assessment Attempt Attachments/21828537/457115/WS1.EDHS.PE001.X.9.pdf,,,,T
171429,14-SEP-20 03.19.51.399000000 PM,1123222,,Rhetorical_Speech_Action_Project_Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/171429/Assessment Attempt Attachments/21828607/427451/Rhetorical_Speech_Action_Project_Worksheet.pdf,,,,T
125907,14-SEP-20 03.19.25.797000000 PM,1123216,,english.docx,http://52.252.6.133/suite/repository/workspace/Users/125907/Assessment Attempt Attachments/21816294/427507/english.docx,,,,T
70500,14-SEP-20 03.18.45.750000000 PM,1123194,,Persuasive Essay.docx,http://52.252.6.133/suite/repository/workspace/Users/70500/Assessment Attempt Attachments/21826220/459638/Persuasive Essay.docx,,,,T
180063,14-SEP-20 03.18.26.124000000 PM,1123200,,dreams.docx,http://52.252.6.133/suite/repository/workspace/Users/180063/Assessment Attempt Attachments/21808910/459642/dreams.docx,,,,T
175968,14-SEP-20 03.18.14.709000000 PM,1123097,,The yellow wallpaper reading guide section 1.pdf,http://52.252.6.133/suite/repository/workspace/Users/175968/Assessment Attempt Attachments/21824795/459192/The yellow wallpaper reading guide section 1.pdf,,,,T
175968,14-SEP-20 03.18.14.709000000 PM,1123198,,The yellow wallpaper reading guide section 2.pdf,http://52.252.6.133/suite/repository/workspace/Users/175968/Assessment Attempt Attachments/21824795/459213/The yellow wallpaper reading guide section 2.pdf,,,,T
175968,14-SEP-20 03.18.14.709000000 PM,1123052,,Once upon a time reading guide section 2.pdf,http://52.252.6.133/suite/repository/workspace/Users/175968/Assessment Attempt Attachments/21824795/459080/Once upon a time reading guide section 2.pdf,,,,T
179196,14-SEP-20 03.17.14.365000000 PM,1123190,,Firehouse boys.docx,http://52.252.6.133/suite/repository/workspace/Users/179196/Assessment Attempt Attachments/21827779/354829/Firehouse boys.docx,,,,T
178331,14-SEP-20 03.17.04.016000000 PM,1123191,,Rubric.pdf,http://52.252.6.133/suite/repository/workspace/Users/178331/Assessment Attempt Attachments/21828445/459642/Rubric.pdf,,,,T
74714,14-SEP-20 03.16.37.022000000 PM,1123185,,Graph.1.png,http://52.252.6.133/suite/repository/workspace/Users/74714/Assessment Attempt Attachments/21826813/68427/Graph.1.png,,,,T
171586,14-SEP-20 03.15.06.654000000 PM,1123111,,Heros_Journey_Action_Project_Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/171586/Assessment Attempt Attachments/21805973/408755/Heros_Journey_Action_Project_Worksheet.pdf,,,,T
176778,14-SEP-20 03.15.03.617000000 PM,1123170,,Delilah F_Bio1 pt1_Lesson3_ Scientific discoveries.pdf,http://52.252.6.133/suite/repository/workspace/Users/176778/Assessment Attempt Attachments/21828245/390156/Delilah F_Bio1 pt1_Lesson3_ Scientific discoveries.pdf,,,,T
176778,14-SEP-20 03.15.03.617000000 PM,1123177,,Delilah F_Bio1 pt1_Lesson3_Scientific Method Steps.pdf,http://52.252.6.133/suite/repository/workspace/Users/176778/Assessment Attempt Attachments/21828245/390290/Delilah F_Bio1 pt1_Lesson3_Scientific Method Steps.pdf,,,,T
176778,14-SEP-20 03.15.03.617000000 PM,1123182,,Delilah F_Bio1 pt1_Lesson3_ SM Practice.pdf,http://52.252.6.133/suite/repository/workspace/Users/176778/Assessment Attempt Attachments/21828245/390292/Delilah F_Bio1 pt1_Lesson3_ SM Practice.pdf,,,,T
172548,14-SEP-20 03.15.03.255000000 PM,1123173,,A47BA00F-6B95-449D-B7E7-711686993D3D.jpeg,http://52.252.6.133/suite/repository/workspace/Users/172548/Assessment Attempt Attachments/21828275/390156/A47BA00F-6B95-449D-B7E7-711686993D3D.jpeg,,,,T
172548,14-SEP-20 03.15.03.255000000 PM,1123176,,847C220D-8DC4-4EA7-918B-62F0225BF0C7.jpeg,http://52.252.6.133/suite/repository/workspace/Users/172548/Assessment Attempt Attachments/21828275/390290/847C220D-8DC4-4EA7-918B-62F0225BF0C7.jpeg,,,,T
172548,14-SEP-20 03.15.03.255000000 PM,1123180,,0CF45E37-F2D0-471D-BB62-EEA75C1A09EF.jpeg,http://52.252.6.133/suite/repository/workspace/Users/172548/Assessment Attempt Attachments/21828275/390292/0CF45E37-F2D0-471D-BB62-EEA75C1A09EF.jpeg,,,,T
172548,14-SEP-20 03.15.03.255000000 PM,1123181,,44916089-97FA-4C47-AC6E-C17E12AA7997.jpeg,http://52.252.6.133/suite/repository/workspace/Users/172548/Assessment Attempt Attachments/21828275/390292/44916089-97FA-4C47-AC6E-C17E12AA7997.jpeg,,,,T
175221,14-SEP-20 03.15.01.120000000 PM,1123183,,Rhetorical_Speech_External_Investigation_Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/175221/Assessment Attempt Attachments/21828318/427451/Rhetorical_Speech_External_Investigation_Worksheet.pdf,,,,T
148172,14-SEP-20 03.14.33.576000000 PM,1123167,,elijahs number line.PNG,http://52.252.6.133/suite/repository/workspace/Users/148172/Assessment Attempt Attachments/21828032/406141/elijahs number line.PNG,,,,T
180374,14-SEP-20 03.14.21.460000000 PM,1123162,,BIO1-Scientific-Method_Video-Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/180374/Assessment Attempt Attachments/21827909/390152/BIO1-Scientific-Method_Video-Worksheet.pdf,,,,T
180374,14-SEP-20 03.14.21.460000000 PM,1123172,,BIO1-Scientific-Method_Unify-Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/180374/Assessment Attempt Attachments/21827909/390153/BIO1-Scientific-Method_Unify-Worksheet.pdf,,,,T
177294,14-SEP-20 03.13.33.972000000 PM,1123169,,AutobiographicalNarrative_Template-3.docx,http://52.252.6.133/suite/repository/workspace/Users/177294/Assessment Attempt Attachments/21798167/354687/AutobiographicalNarrative_Template-3.docx,,,,T
170517,14-SEP-20 03.13.15.820000000 PM,1123154,,parabola123.PNG,http://52.252.6.133/suite/repository/workspace/Users/170517/Assessment Attempt Attachments/21812306/451928/parabola123.PNG,,,,T
178715,14-SEP-20 03.13.15.477000000 PM,1123168,,Real-Life_Heroes_Worksheet_Step4pdf.pdf,http://52.252.6.133/suite/repository/workspace/Users/178715/Assessment Attempt Attachments/21823910/408751/Real-Life_Heroes_Worksheet_Step4pdf.pdf,,,,T
171702,14-SEP-20 03.12.07.990000000 PM,1123163,,coach goal setting.pdf,http://52.252.6.133/suite/repository/workspace/Users/171702/Assessment Attempt Attachments/21825965/317211/coach goal setting.pdf,,,,T
108729,14-SEP-20 03.12.06.344000000 PM,1123160,,Screen Shot 2020-09-14 at 11.11.41 AM.png,http://52.252.6.133/suite/repository/workspace/Users/108729/Assessment Attempt Attachments/21825654/459246/Screen Shot 2020-09-14 at 11.11.41 AM.png,,,,T
108729,14-SEP-20 03.12.06.344000000 PM,1123161,,Screen Shot 2020-09-14 at 11.11.45 AM.png,http://52.252.6.133/suite/repository/workspace/Users/108729/Assessment Attempt Attachments/21825654/459246/Screen Shot 2020-09-14 at 11.11.45 AM.png,,,,T
108729,14-SEP-20 03.12.06.344000000 PM,1123051,,Screen Shot 2020-09-14 at 10.43.15 AM.png,http://52.252.6.133/suite/repository/workspace/Users/108729/Assessment Attempt Attachments/21825654/459192/Screen Shot 2020-09-14 at 10.43.15 AM.png,,,,T
108729,14-SEP-20 03.12.06.344000000 PM,1123053,,Screen Shot 2020-09-14 at 10.43.24 AM.png,http://52.252.6.133/suite/repository/workspace/Users/108729/Assessment Attempt Attachments/21825654/459192/Screen Shot 2020-09-14 at 10.43.24 AM.png,,,,T
108729,14-SEP-20 03.12.06.344000000 PM,1123138,,Screen Shot 2020-09-14 at 11.07.02 AM.png,http://52.252.6.133/suite/repository/workspace/Users/108729/Assessment Attempt Attachments/21825654/459085/Screen Shot 2020-09-14 at 11.07.02 AM.png,,,,T
108729,14-SEP-20 03.12.06.344000000 PM,1123136,,Screen Shot 2020-09-14 at 11.06.54 AM.png,http://52.252.6.133/suite/repository/workspace/Users/108729/Assessment Attempt Attachments/21825654/459085/Screen Shot 2020-09-14 at 11.06.54 AM.png,,,,T
108729,14-SEP-20 03.12.06.344000000 PM,1123050,,Screen Shot 2020-09-14 at 10.43.05 AM.png,http://52.252.6.133/suite/repository/workspace/Users/108729/Assessment Attempt Attachments/21825654/459192/Screen Shot 2020-09-14 at 10.43.05 AM.png,,,,T
169780,14-SEP-20 03.11.49.276000000 PM,1123156,,Karolines Writing Essay.rtf,http://52.252.6.133/suite/repository/workspace/Users/169780/Assessment Attempt Attachments/21825452/371257/Karolines Writing Essay.rtf,,,,T
141628,14-SEP-20 03.10.43.158000000 PM,1123148,,HS_Health_PE_P2_L5_FitnessChallenge_Rebeca Kline.doc,http://52.252.6.133/suite/repository/workspace/Users/141628/Assessment Attempt Attachments/21652996/317037/HS_Health_PE_P2_L5_FitnessChallenge_Rebeca Kline.doc,,,,T
179517,14-SEP-20 03.10.15.923000000 PM,1123146,,RUB.EDHS.2019.ELA.X.118.pdf,http://52.252.6.133/suite/repository/workspace/Users/179517/Assessment Attempt Attachments/21770171/459644/RUB.EDHS.2019.ELA.X.118.pdf,,,,T
176190,14-SEP-20 03.09.29.706000000 PM,1123141,,Vocaroo 14 Sep 2020 11_06_13 EDT 1h7ENYQ1nrdV.mp3,http://52.252.6.133/suite/repository/workspace/Users/176190/Assessment Attempt Attachments/21717207/428866/Vocaroo 14 Sep 2020 11_06_13 EDT 1h7ENYQ1nrdV.mp3,,,,T
174886,14-SEP-20 03.09.02.577000000 PM,1123144,,2A14CA40-F633-48B3-88CA-9949C47BBC9D.png,http://52.252.6.133/suite/repository/workspace/Users/174886/Assessment Attempt Attachments/21826676/354813/2A14CA40-F633-48B3-88CA-9949C47BBC9D.png,,,,T
170326,14-SEP-20 03.08.21.949000000 PM,1123139,,Mural-Design_External_Investigation_Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/170326/Assessment Attempt Attachments/21826024/427404/Mural-Design_External_Investigation_Worksheet.pdf,,,,T
170326,14-SEP-20 03.08.21.949000000 PM,1123143,,world cultures.docx,http://52.252.6.133/suite/repository/workspace/Users/170326/Assessment Attempt Attachments/21826024/427404/world cultures.docx,,,,T
174373,14-SEP-20 03.06.51.618000000 PM,1123133,,Screenshot 2020-09-14 at 11.06.31 AM.png,http://52.252.6.133/suite/repository/workspace/Users/174373/Assessment Attempt Attachments/21787275/467899/Screenshot 2020-09-14 at 11.06.31 AM.png,,,,T
174373,14-SEP-20 03.06.51.618000000 PM,1123114,,Screenshot 2020-09-14 at 11.02.15 AM.png,http://52.252.6.133/suite/repository/workspace/Users/174373/Assessment Attempt Attachments/21787275/467899/Screenshot 2020-09-14 at 11.02.15 AM.png,,,,T
176294,14-SEP-20 03.06.00.029000000 PM,1123130,,RUB.EDHS.2019.ELA.X.112.pdf,http://52.252.6.133/suite/repository/workspace/Users/176294/Assessment Attempt Attachments/21827042/459601/RUB.EDHS.2019.ELA.X.112.pdf,,,,T
170589,14-SEP-20 03.05.28.263000000 PM,1123127,,Mural-Design_Action_Project_Worksheet.pdfvnvnvnvnvn.pdf,http://52.252.6.133/suite/repository/workspace/Users/170589/Assessment Attempt Attachments/21826785/427409/Mural-Design_Action_Project_Worksheet.pdfvnvnvnvnvn.pdf,,,,T
70562,14-SEP-20 03.05.19.088000000 PM,1123124,,Screenshot (4).png,http://52.252.6.133/suite/repository/workspace/Users/70562/Assessment Attempt Attachments/21827634/445439/Screenshot (4).png,,,,T
70562,14-SEP-20 03.05.19.088000000 PM,1123116,,Career Plan Template.pdf,http://52.252.6.133/suite/repository/workspace/Users/70562/Assessment Attempt Attachments/21827634/445439/Career Plan Template.pdf,,,,T
70562,14-SEP-20 03.05.19.088000000 PM,1123126,,Screenshot (5).png,http://52.252.6.133/suite/repository/workspace/Users/70562/Assessment Attempt Attachments/21827634/445439/Screenshot (5).png,,,,T
53024,14-SEP-20 03.05.16.626000000 PM,1123118,,Narrative Essay.pdf,http://52.252.6.133/suite/repository/workspace/Users/53024/Assessment Attempt Attachments/21826397/459646/Narrative Essay.pdf,,,,T
175111,14-SEP-20 03.05.08.676000000 PM,1123122,,Bio SlideShow American Robin.pdf,http://52.252.6.133/suite/repository/workspace/Users/175111/Assessment Attempt Attachments/21767092/390294/Bio SlideShow American Robin.pdf,,,,T
169712,14-SEP-20 03.04.40.073000000 PM,1123120,,Vocaroo 14 Sep 2020 10_20_18 EDT 1nHPtKmITpSZ.mp3,http://52.252.6.133/suite/repository/workspace/Users/169712/Assessment Attempt Attachments/21827494/384206/Vocaroo 14 Sep 2020 10_20_18 EDT 1nHPtKmITpSZ.mp3,,,,T
175913,14-SEP-20 03.04.32.858000000 PM,1123119,,Screenshot 2020-09-14 110220.png,http://52.252.6.133/suite/repository/workspace/Users/175913/Assessment Attempt Attachments/21706394/457115/Screenshot 2020-09-14 110220.png,,,,T
